timestamp,open,high,low,close,volume,exchange,source
2024-09-25T00:00:00.000Z,0.04129,0.04131,0.04052,0.04085,17545.5141,"binance","binance"
2024-09-26T00:00:00.000Z,0.04086,0.04126,0.04032,0.04039,22775.9846,"binance","binance"
2024-09-27T00:00:00.000Z,0.04039,0.04119,0.0403,0.04097,23688.7644,"binance","binance"
2024-09-28T00:00:00.000Z,0.04097,0.04102,0.04048,0.04062,10200.324,"binance","binance"
2024-09-29T00:00:00.000Z,0.04062,0.04071,0.04025,0.04051,10208.237,"binance","binance"
2024-09-30T00:00:00.000Z,0.04051,0.04126,0.0403,0.04109,25212.4599,"binance","binance"
2024-10-01T00:00:00.000Z,0.04108,0.0415,0.03971,0.04025,36836.4896,"binance","binance"
2024-10-02T00:00:00.000Z,0.04026,0.04047,0.03891,0.03899,22577.0427,"binance","binance"
2024-10-03T00:00:00.000Z,0.03899,0.03913,0.03841,0.03867,23371.6602,"binance","binance"
2024-10-04T00:00:00.000Z,0.03867,0.03936,0.03859,0.03889,17071.458,"binance","binance"
2024-10-05T00:00:00.000Z,0.03889,0.03904,0.03869,0.0389,9164.4718,"binance","binance"
2024-10-06T00:00:00.000Z,0.03891,0.03917,0.03874,0.03884,9186.8313,"binance","binance"
2024-10-07T00:00:00.000Z,0.03884,0.03943,0.03851,0.03893,27888.6411,"binance","binance"
2024-10-08T00:00:00.000Z,0.03893,0.03941,0.03874,0.03927,15956.6963,"binance","binance"
2024-10-09T00:00:00.000Z,0.03927,0.03969,0.03894,0.0391,20999.9579,"binance","binance"
2024-10-10T00:00:00.000Z,0.0391,0.03987,0.03906,0.03955,25811.8884,"binance","binance"
2024-10-11T00:00:00.000Z,0.03955,0.03985,0.03881,0.03901,20875.3631,"binance","binance"
2024-10-12T00:00:00.000Z,0.03901,0.03933,0.03884,0.03919,14887.7371,"binance","binance"
2024-10-13T00:00:00.000Z,0.03918,0.03936,0.03909,0.03926,10669.6829,"binance","binance"
2024-10-14T00:00:00.000Z,0.03927,0.04006,0.03903,0.0398,35936.3622,"binance","binance"
2024-10-15T00:00:00.000Z,0.0398,0.04005,0.03853,0.03888,31413.4605,"binance","binance"
2024-10-16T00:00:00.000Z,0.03887,0.03906,0.0384,0.03862,23824.7034,"binance","binance"
2024-10-17T00:00:00.000Z,0.03862,0.03919,0.03861,0.03864,16931.3408,"binance","binance"
